PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,PACE,PIE,FGM,FGA,FGM_PG,FGA_PG,FG_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,USG_PCT_RANK,PACE_RANK,PIE_RANK,FGM_RANK,FGA_RANK,FGM_PG_RANK,FGA_PG_RANK,FG_PCT_RANK,CFID,CFPARAMS,PlayerPosition
201143,Al Horford,1610612738,BOS,31,42,30,12,0.714,32.7,108.1,99.7,8.4,0.244,2.63,28.6,0.052,0.203,0.132,10.9,0.587,0.602,0.183,97.46,0.145,227,438,5.4,10.4,0.518,27,4,38,12,7,21,16,10,3,2,3,93,69,82,36,29,32,49,79,15,18,15,18,16,58,5,"201143,1610612738",C
2744,Al Jefferson,1610612754,IND,33,19,8,11,0.421,13.9,104,107.8,-3.8,0.096,1.14,11.2,0.072,0.29,0.182,9.8,0.543,0.565,0.215,98.25,0.138,57,105,3,5.5,0.543,77,73,33,63,67,54,77,65,42,32,56,81,16,33,20,51,61,25,70,21,63,63,42,42,43,5,"2744,1610612754",C
203458,Alex Len,1610612756,PHX,24,41,17,24,0.415,20.8,103.3,108.8,-5.5,0.096,1.02,13.5,0.14,0.282,0.211,13.2,0.551,0.608,0.167,102.53,0.135,124,225,3,5.5,0.551,32,40,91,67,38,58,84,77,41,42,35,11,20,12,64,42,29,61,15,22,39,38,41,43,35,5,"203458,1610612756",C
101161,Amir Johnson,1610612755,PHI,30,38,21,17,0.553,15.5,98.7,102.5,-3.8,0.126,1.58,20.9,0.129,0.205,0.168,13.3,0.545,0.562,0.14,103.92,0.092,77,144,2,3.8,0.535,43,24,57,33,60,86,31,66,22,12,11,16,67,47,65,50,62,88,9,70,57,55,66,66,50,5,"101161,1610612755",C
203083,Andre Drummond,1610612765,DET,24,42,21,21,0.5,33.1,106.1,107,-0.9,0.18,1.36,20,0.163,0.359,0.258,14.7,0.546,0.574,0.205,97.95,0.16,242,443,5.8,10.5,0.546,27,24,76,50,6,42,71,47,9,23,12,5,5,4,76,49,54,32,73,6,13,14,15,15,40,5,"203083,1610612765",C
101106,Andrew Bogut,1610612747,LAL,33,23,7,16,0.304,9.4,94,99.7,-5.7,0.099,0.79,25.1,0.116,0.251,0.181,31.7,0.68,0.696,0.086,102.44,0.081,17,25,0.7,1.1,0.68,73,79,53,92,84,95,17,79,37,63,5,29,35,34,107,2,1,104,16,81,87,90,90,97,2,5,"101106,1610612747",C
1627790,Ante Zizic,1610612739,CLE,21,12,7,5,0.583,3.4,89.1,102.8,-13.7,0.05,0.5,5.9,0.122,0.25,0.185,11.7,0.364,0.462,0.183,98.91,0.108,4,11,0.3,0.9,0.364,89,79,12,29,101,100,32,96,84,85,93,24,36,29,45,98,92,48,54,50,95,96,99,102,97,5,"1627790,1610612739",C
203076,Anthony Davis,1610612740,NOP,24,38,20,18,0.526,36.1,109.2,104.1,5.1,0.105,1.18,9.1,0.087,0.227,0.162,7.7,0.577,0.636,0.277,102.1,0.186,370,664,9.7,17.5,0.557,43,30,61,41,2,15,42,18,32,31,72,69,52,56,14,32,15,7,18,2,2,3,1,3,33,5,"203076,1610612740",C
203382,Aron Baynes,1610612738,BOS,31,46,34,12,0.739,18.4,103.5,95.4,8.1,0.074,0.95,11.8,0.096,0.216,0.157,12.4,0.477,0.511,0.163,97.19,0.087,114,239,2.5,5.2,0.477,2,1,38,9,45,57,7,12,59,50,50,55,59,59,54,81,82,67,84,75,42,36,53,45,71,5,"203382,1610612738",C
1628389,Bam Adebayo,1610612748,MIA,20,36,19,17,0.528,19.9,101.6,105.4,-3.8,0.113,1.46,17.6,0.101,0.203,0.151,12.1,0.551,0.607,0.157,94.5,0.109,92,167,2.6,4.6,0.551,51,36,57,40,41,73,56,67,28,18,15,44,68,65,49,43,30,76,103,47,46,51,48,54,36,5,"1628389,1610612748",C
